City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,76.03,79,100,12.64,PF,1623514619
Flinders,-34.5833,150.8552,56.17,65,1,8.01,AU,1623514889
Kruisfontein,-34.0033,24.7314,60.89,73,100,3.27,ZA,1623514620
Bathsheba,13.2167,-59.5167,88.41,55,40,17.27,BB,1623514889
Albany,42.6001,-73.9662,73.89,74,97,2.39,US,1623514411
Tuktoyaktuk,69.4541,-133.0374,46.4,71,40,9.22,CA,1623514621
Saint-Pierre,-21.3393,55.4781,73.04,83,86,4.61,RE,1623514890
Banda Aceh,5.5577,95.3222,81.03,75,97,11.32,ID,1623514890
Hermanus,-34.4187,19.2345,61.9,74,31,3.6,ZA,1623514621
Kiryat Gat,31.61,34.7642,88.39,37,1,15.43,IL,1623514891
Mar del Plata,-38.0023,-57.5575,70.09,70,16,5.99,AR,1623514322
Dakar,14.6937,-17.4441,90.48,77,42,10.45,SN,1623514892
Kilinochchi,9.3961,80.3982,82.06,78,86,17.54,LK,1623514892
Mataura,-46.1927,168.8643,47.79,88,100,3.94,NZ,1623514623
Asău,46.4333,26.4,70.75,77,88,4.03,RO,1623514893
Tiksi,71.6872,128.8694,44.08,73,58,11.21,RU,1623514623
Phetchabun,16.25,101.0833,73.81,97,100,1.7,TH,1623514893
Qaanaaq,77.484,-69.3632,36.7,79,89,3.38,GL,1623514624
Bredasdorp,-34.5322,20.0403,57.27,81,39,4.0,ZA,1623514624
Saint-Philippe,-21.3585,55.7679,72.95,74,60,13.96,RE,1623514625
Cidreira,-30.1811,-50.2056,62.1,51,6,13.15,BR,1623514625
Mount Gambier,-37.8333,140.7667,48.11,93,100,8.05,AU,1623514894
Airai,-8.9266,125.4092,57.87,91,75,2.66,TL,1623514626
Grajaú,-5.8194,-46.1386,93.09,35,60,3.42,BR,1623514409
Port Alfred,-33.5906,26.891,65.82,71,100,7.05,ZA,1623514627
Arraial do Cabo,-22.9661,-42.0278,73.36,60,75,6.91,BR,1623514627
Chokurdakh,70.6333,147.9167,57.79,39,100,9.01,RU,1623514627
Cape Town,-33.9258,18.4232,62.35,72,0,1.99,ZA,1623514628
Hanzhong,33.0728,107.0303,73.89,77,87,1.32,CN,1623514410
Puerto Ayora,-0.7393,-90.3518,78.76,91,92,8.01,EC,1623514628
Hilo,19.7297,-155.09,70.79,91,90,5.75,US,1623514411
Pulandian,39.3953,121.9669,60.93,96,70,5.86,CN,1623514411
Badou,7.5833,0.6,86.7,57,95,3.27,TG,1623514411
Sawākin,19.1059,37.3321,93.22,43,96,3.85,SD,1623514412
Manutuke,-38.6833,177.9167,46.98,92,91,6.91,NZ,1623514412
Lagoa,39.05,-27.9833,67.32,78,0,1.32,PT,1623514898
Busselton,-33.65,115.3333,53.04,89,15,8.46,AU,1623514630
Bluff,-46.6,168.3333,51.87,87,100,3.24,NZ,1623514631
Broome,42.2506,-75.833,72.64,86,90,1.01,US,1623514413
Taloqan,36.7361,69.5345,82.51,14,4,7.74,AF,1623514414
Arica,-18.475,-70.3042,67.55,67,75,10.36,CL,1623514178
Leningradskiy,69.3833,178.4167,33.39,93,95,3.49,RU,1623514632
Conway,35.0887,-92.4421,90.75,70,1,4.61,US,1623514414
Gravdal,68.1214,13.5031,51.62,78,43,10.27,NO,1623514415
Ponta do Sol,32.6667,-17.1,78.01,75,20,6.02,PT,1623514632
San Lorenzo,-25.3333,-57.5333,70.74,56,0,5.01,PY,1623514789
Punta Arenas,-53.15,-70.9167,42.91,75,75,31.07,CL,1623514633
Wattegama,6.7989,81.4808,79.25,70,69,8.41,LK,1623514901
Kapaa,22.0752,-159.319,73.72,81,90,5.01,US,1623514395
Inhambane,-23.865,35.3833,68.47,75,24,6.46,MZ,1623514634
Yerbogachën,61.2767,108.0108,45.86,65,46,5.57,RU,1623514634
Yulara,-25.2406,130.9889,55.24,33,40,5.75,AU,1623514635
Butaritari,3.0707,172.7902,82.29,77,48,9.48,KI,1623514635
Sept-Îles,50.2001,-66.3821,65.25,32,40,8.01,CA,1623514635
Port Blair,11.6667,92.75,82.69,81,67,18.52,IN,1623514417
Jamestown,42.097,-79.2353,77.18,68,90,6.91,US,1623514636
Ribeira Grande,38.5167,-28.7,72.0,83,20,5.75,PT,1623514637
Ancud,-41.8697,-73.8203,49.53,94,100,6.51,CL,1623514903
Vaini,-21.2,-175.2,71.76,78,40,6.91,TO,1623514638
Ushuaia,-54.8,-68.3,38.86,87,20,0.0,AR,1623514638
Yaan,7.3833,8.5667,83.57,71,80,5.64,NG,1623514904
Khatanga,71.9667,102.5,38.71,78,100,10.87,RU,1623514624
Lewiston,44.1003,-70.2148,77.05,52,1,4.61,US,1623514298
Hithadhoo,-0.6,73.0833,82.98,74,62,9.89,MV,1623514639
Antigonish,45.6169,-61.9986,64.02,51,96,3.0,CA,1623514420
Thai Binh,20.45,106.3333,82.4,88,97,15.35,VN,1623514421
São Filipe,14.8961,-24.4956,75.99,80,97,4.27,CV,1623514640
Kahului,20.8947,-156.47,73.42,88,40,6.91,US,1623514459
Faanui,-16.4833,-151.75,79.59,79,39,8.93,PF,1623514906
Barrow,71.2906,-156.7887,30.22,93,90,5.75,US,1623514480
Touros,-5.1989,-35.4608,86.9,57,23,16.55,BR,1623514422
Yellowknife,62.456,-114.3525,48.72,100,90,13.8,CA,1623514453
Upernavik,72.7868,-56.1549,36.05,93,100,4.05,GL,1623514642
Coruripe,-10.1256,-36.1756,81.16,66,26,7.27,BR,1623514423
Bengkulu,-3.8004,102.2655,76.55,90,77,3.58,ID,1623514642
Hobart,-42.8794,147.3294,54.27,94,90,1.99,AU,1623514643
Saint Paul Harbor,57.79,-152.4072,53.11,66,1,5.75,US,1623514643
Gigmoto,13.7796,124.39,79.72,87,100,5.86,PH,1623514424
Saint George,37.1041,-113.5841,91.87,11,1,3.44,US,1623514908
Lompoc,34.6391,-120.4579,82.11,68,1,4.61,US,1623514644
East London,-33.0153,27.9116,67.14,52,0,5.75,ZA,1623514644
Pañgobilian,8.8011,117.8594,80.47,77,100,2.48,PH,1623514425
Denpasar,-8.65,115.2167,78.46,89,20,5.75,ID,1623514426
Itacaré,-14.2775,-38.9967,80.6,65,95,7.67,BR,1623514426
Batagay-Alyta,67.8006,130.4114,44.62,55,5,11.65,RU,1623514426
Deputatsky,69.3,139.9,46.29,75,100,3.51,RU,1623514910
Marabu,4.4148,114.0089,76.57,92,86,5.5,MY,1623514427
Balabac,7.9868,117.0645,81.55,73,100,1.74,PH,1623514427
New Norfolk,-42.7826,147.0587,53.92,80,100,1.01,AU,1623514646
Yar-Sale,66.8333,70.8333,61.47,64,80,8.12,RU,1623514647
Jagüey Grande,22.5269,-81.1286,86.65,48,99,4.45,CU,1623514428
Pacifica,37.6138,-122.4869,70.95,87,75,1.01,US,1623514426
Kaveripattinam,12.4207,78.2166,78.93,65,98,18.05,IN,1623514429
Hong Kong,22.2855,114.1577,85.32,90,100,1.01,HK,1623514418
Sitka,57.0531,-135.33,51.69,82,40,4.61,US,1623514648
Saskylakh,71.9167,114.0833,49.64,56,99,4.61,RU,1623514649
Qaqortoq,60.7167,-46.0333,55.9,74,47,8.61,GL,1623514430
Eyl,7.9803,49.8164,81.01,67,100,23.64,SO,1623514913
Stulovo,58.7225,50.1439,60.98,94,62,10.45,RU,1623514431
Bethel,41.3712,-73.414,67.28,79,90,5.75,US,1623514650
Lavrentiya,65.5833,-171.0,36.25,99,100,7.27,RU,1623514431
Ilhéus,-14.7889,-39.0494,82.76,58,100,6.44,BR,1623514132
Castro,-24.7911,-50.0119,61.66,40,0,4.32,BR,1623514650
Zyryanka,65.75,150.85,51.42,52,14,11.65,RU,1623514432
Chui,-33.6971,-53.4616,61.99,60,43,9.64,UY,1623514651
Ngunguru,-35.6167,174.5,59.16,76,100,12.59,NZ,1623514433
Thompson,55.7435,-97.8558,50.16,100,90,10.36,CA,1623514515
Tilichiki,60.4667,166.1,44.47,86,100,4.59,RU,1623514433
Provideniya,64.3833,-173.3,38.68,97,100,12.06,RU,1623514652
Changuinola,9.4333,-82.5167,85.01,67,92,4.43,PA,1623514434
Berlevåg,70.8578,29.0864,52.86,82,71,15.64,NO,1623514434
Ca Mau,9.1769,105.15,76.39,85,100,4.25,VN,1623514435
Dukat,62.55,155.55,34.99,80,0,2.57,RU,1623514916
Dicabisagan,17.0818,122.4157,80.22,87,100,5.68,PH,1623514435
Hambantota,6.1241,81.1185,80.65,80,79,17.4,LK,1623514917
Vaitape,-16.5167,-151.75,79.59,78,40,8.97,PF,1623514436
Namatanai,-3.6667,152.4333,79.47,79,15,6.67,PG,1623514436
George Town,5.4112,100.3354,84.88,77,20,1.01,MY,1623514463
At-Bashi,41.1702,75.8106,54.05,73,100,4.27,KG,1623514437
Fushë-Arrëz,42.0622,20.0167,71.31,55,37,4.0,AL,1623514441
Songjianghe,42.1859,127.479,57.76,81,13,4.83,CN,1623514441
East Grinstead,51.1238,-0.0061,77.81,49,0,1.99,GB,1623514442
Suárez,2.954,-76.6964,82.92,57,72,1.95,CO,1623514442
Mossamedes,-15.1961,12.1522,76.82,58,5,8.66,AO,1623514443
Okha,53.5739,142.9478,39.06,98,100,18.45,RU,1623514656
Waipawa,-41.4122,175.5153,55.45,89,100,8.37,NZ,1623514656
Ciudad Juárez,31.7333,-106.4833,93.36,26,1,5.99,MX,1623514348
Tateyama,34.9833,139.8667,75.02,88,92,10.74,JP,1623514444
São João do Piauí,-8.3581,-42.2467,97.3,23,10,6.69,BR,1623514444
Tasiilaq,65.6145,-37.6368,41.16,98,100,4.45,GL,1623514657
Nanortalik,60.1432,-45.2371,38.93,82,75,8.55,GL,1623514658
Atuona,-9.8,-139.0333,78.51,69,20,15.32,PF,1623514658
Zhuhai,22.2769,113.5678,85.05,94,40,9.22,CN,1623514446
